Time[s],"X (HR=10%)",Time[s],"X (HR=20%)",Time[s],"X (HR=30%)",Time[s],"X (HR=40%)"
0,0.0035986733001658463,0,0,0,0.005599778883360958,0,0.0004911699779248539
102,0.0064621337755666,15,0.006329463792150337,82,0.008811498065229444,83,0.005435982339955803
217,0.007805417357656237,135,0.008916528468767263,128,0.010105030403537907,216,0.010292494481236234
337,0.008899944720840245,255,0.010624654505251529,231,0.012808181315644077,322,0.013167770419426045
457,0.009613045881702607,375,0.011857379767827513,293,0.014372581536760654,439,0.01658940397350992
577,0.010243228302929883,495,0.013001658374792696,360,0.015854063018242145,565,0.019398454746136874
697,0.010685461580984008,615,0.0139082365948038,420,0.016926478717523546,678,0.02158388520971301
817,0.011111111111111115,735,0.014853510226644528,471,0.017672747374239944,800,0.0239183222958057
937,0.01159203980099511,855,0.01563294637921508,531,0.018579325594251045,922,0.025745033112582704
1057,0.011923714759535705,975,0.01635710337202875,594,0.019397457158651224,1042,0.027295805739514258
1177,0.012332780541735795,1095,0.01702598120508577,654,0.02015478164731905,1158,0.028807947019867563
1297,0.012653399668325084,1215,0.017656163626312924,711,0.020856826976229984,1278,0.030320088300220743
1417,0.012913211719181895,1335,0.018220011055832007,771,0.02151464897733558,1403,0.031302428256070575
1537,0.013239358761746898,1455,0.018695411829740168,831,0.022155887230514162,1518,0.032704194260485576
1657,0.013488114980652282,1575,0.01919292426755118,891,0.022747374239911564,1638,0.033714128035320014
1777,0.013692647871752327,1695,0.01960199004975127,953,0.023338861249309093,1758,0.034641280353200875
1897,0.01395245992260926,1815,0.019972360420121613,1011,0.023886124930901035,1878,0.0356346578366446
2017,0.014151464897733591,1935,0.0203703703703704,1071,0.024400221116639066,2001,0.03640176600441502
2137,0.014322830292979602,2055,0.020685461580983975,1131,0.024870093974571635,2118,0.037003311258278174
2257,0.014538419016030951,2175,0.0209618573797678,1191,0.02537313432835824,2238,0.03771523178807938
2377,0.014693200663349944,2295,0.021243781094527344,1251,0.025837479270315093,2358,0.03817328918322293
2497,0.014814814814814902,2415,0.021487009397457138,1311,0.026268656716417916,2478,0.03869205298013239
2617,0.015030403537866251,2535,0.02168601437258159,1371,0.02672194582642347,2598,0.03904525386313459
2737,0.0151575456053068,2655,0.021934770591487098,1431,0.027081260364842503,2718,0.03944812362030904
2857,0.015323383084577097,2775,0.022122719734660127,1491,0.02743504698728583,2838,0.03952538631346579
2977,0.015456053067993358,2895,0.02229961304588173,1551,0.027794361525704865,2965,0.040066225165562915
3097,0.01558319513543403,3015,0.022443338861249294,1614,0.028192371475953652,3079,0.040419426048565105
3217,0.015699281370923152,3135,0.022570480928689966,1671,0.028507462686567227,3198,0.04039735099337744
