Time[s],Mass
0,1.88599
114,1.88352
234,1.88124
354,1.87898
474,1.8766
594,1.87424
714,1.87209
835,1.8698
954,1.8677
1074,1.86572
1194,1.8638
1314,1.86203
1434,1.8604
1554,1.85875
1674,1.85722
1794,1.85587
1914,1.85451
2034,1.85342
2154,1.85241
2277,1.8512
2394,1.8503
2514,1.84933
2634,1.84821
2754,1.84726
2874,1.84613
2994,1.84514
3114,1.84414
3234,1.84332
3354,1.8425
3474,1.84161
3594,1.84082
3714,1.84007
3834,1.83932
3954,1.83861
4074,1.83793
4195,1.83723
4314,1.83665
4434,1.83593
4554,1.83539
4674,1.83469
4794,1.83426
4914,1.83372
5034,1.83313
5154,1.83268
5274,1.83215
5394,1.83165
5514,1.83104
5637,1.83073
5754,1.83012
5874,1.82967
5994,1.82947
6114,1.82901
6234,1.82868
6358,1.82769
6474,1.82789
6599,1.82729
6714,1.82705
6834,1.82684
6954,1.82642
7077,1.82593
7194,1.82562
7318,1.82509
7435,1.82513
7554,1.8244
7674,1.82448
7794,1.82423
7914,1.82407
8037,1.82378
8154,1.82291
8276,1.82317
8394,1.82299
8516,1.82273
8637,1.82238
8757,1.82219
8874,1.822
8995,1.82192
9117,1.82161
9234,1.8217
9356,1.82106
9474,1.82106
9594,1.82108
9714,1.82075
9835,1.82018
9954,1.82022
10076,1.82
10194,1.82027
10315,1.81982
10434,1.8198
10556,1.81933
10674,1.81957
10794,1.81948
10914,1.81906
11034,1.81914
11154,1.81899
11279,1.81887
11394,1.81869
11518,1.8184
11634,1.81836
11754,1.8184
11874,1.8181
11994,1.81804
12114,1.81806
12234,1.81744
12356,1.81769
12474,1.8173
12594,1.81743
12716,1.81739
12834,1.81738
12954,1.81722
13074,1.81722
13203,1.81613
13314,1.81688
13434,1.81688
13554,1.81665
13681,1.81619
13794,1.81653
13915,1.8164
14035,1.81596
14154,1.81638
14278,1.81571
14394,1.81613
14514,1.81606
14634,1.81588
14754,1.81573
14874,1.81582
14994,1.81558
15114,1.81564
15234,1.81555
15354,1.81526
15474,1.81545
15600,1.81511
15714,1.81529
15834,1.81503
15966,1.81475
16074,1.81507
16196,1.81499
16318,1.81448
16434,1.81462
16554,1.81485
16688,1.81468
16794,1.81465
16915,1.81478
17042,1.81446
17154,1.81439
17274,1.81453
17394,1.81453
17514,1.81436
17634,1.814
17754,1.81435
17874,1.81429
17994,1.81409
18114,1.8142
18234,1.81414
18358,1.81376
18474,1.8138
18594,1.81371
18714,1.81388
18834,1.8137
18954,1.81381
19074,1.81376
19194,1.81359
19315,1.81344
19435,1.81362
19554,1.81352
19674,1.81354
19794,1.81337
19914,1.81345
20034,1.81336
20154,1.81335
20274,1.81339
20394,1.81326
20514,1.81281
20634,1.81306
20754,1.81316
20874,1.81307
20994,1.81304
21114,1.8131
21234,1.81297
21354,1.81302
21474,1.81297
21594,1.81281
21714,1.81283
21834,1.81291
21954,1.81272
22074,1.8127
22194,1.81285
22314,1.81274
22435,1.81232
22554,1.81276
22674,1.81269
22794,1.81252
22914,1.81265
23034,1.81244
23154,1.81253
23274,1.81254
23394,1.81242
23514,1.81242
23634,1.8123
23754,1.81223
23874,1.81235
23994,1.81232
24114,1.81217
24234,1.81226
24354,1.81228
24474,1.81228
24594,1.81218
24714,1.81215
24834,1.81201
24954,1.81206
25074,1.81205
25200,1.81181
25314,1.81212
25434,1.81211
25554,1.81204
25674,1.81208
25794,1.81196
25914,1.81194
26035,1.81198
26154,1.81181
26276,1.81181
26394,1.8119
26514,1.8118
26637,1.81166
26754,1.81174
26874,1.8118
26995,1.81186
27116,1.81159
27234,1.81164
27354,1.81176
27475,1.8115
27594,1.8117
27714,1.8117
27837,1.81134
27954,1.81159
28074,1.81166
28194,1.81118
28314,1.8116
28434,1.81162
28554,1.8115
28674,1.81155
28794,1.81152
28914,1.8115
29034,1.8115
29154,1.8114
29274,1.81143
29394,1.8114
29514,1.81148
29634,1.81142
29756,1.81132
29874,1.81139
29994,1.81136
30114,1.81136
30234,1.81135
30354,1.81142
30474,1.81135
30594,1.81125
30715,1.81125
30834,1.81125
30954,1.81119
31074,1.81124
31194,1.81121
31314,1.81109
31434,1.81116
31554,1.8112
31674,1.81117
31795,1.81111
31914,1.81113
32034,1.81104
32154,1.8111
32274,1.81116
32394,1.81109
32514,1.81097
32634,1.8111
32754,1.81096
32874,1.81103
32994,1.81103
33114,1.81104
33234,1.81098
33354,1.81099
33474,1.81091
33594,1.81087
33714,1.81095
33834,1.8108
33954,1.81096
34074,1.81091
34194,1.81088
34314,1.81088
34434,1.81095
34554,1.81091
34674,1.81088
34796,1.81049
34914,1.8107
35035,1.81077
35159,1.81032
35274,1.81067
35394,1.8108
35514,1.81064
35634,1.8108
35754,1.81077
35874,1.81083
35994,1.81072
36114,1.81072
36234,1.81069
36354,1.81074
36474,1.81078
36594,1.81069
36714,1.81076
36834,1.81063
36955,1.81067
37074,1.8106
37194,1.81069
37314,1.81071
37434,1.81069
37554,1.81062
37674,1.81065
37794,1.81052
