Time[s],Mass,Time[s],Mass,Time[s],Mass,Time[s],Masse
0,1.81551,0,1.8158,0,1.81913,0,1.81289
102,1.82069,15,1.82045,82,1.82494,83,1.82185
217,1.82312,135,1.82513,128,1.82728,216,1.83065
337,1.8251,255,1.82822,231,1.83217,322,1.83586
457,1.82639,375,1.83045,293,1.835,439,1.84206
577,1.82753,495,1.83252,360,1.83768,565,1.84715
697,1.82833,615,1.83416,420,1.83962,678,1.85111
817,1.8291,735,1.83587,471,1.84097,800,1.85534
937,1.82997,855,1.83728,531,1.84261,922,1.85865
1057,1.83057,975,1.83859,594,1.84409,1042,1.86146
1177,1.83131,1095,1.8398,654,1.84546,1158,1.8642
1297,1.83189,1215,1.84094,711,1.84673,1278,1.86694
1417,1.83236,1335,1.84196,771,1.84792,1403,1.86872
1537,1.83295,1455,1.84282,831,1.84908,1518,1.87126
1657,1.8334,1575,1.84372,891,1.85015,1638,1.87309
1777,1.83377,1695,1.84446,953,1.85122,1758,1.87477
1897,1.83424,1815,1.84513,1011,1.85221,1878,1.87657
2017,1.8346,1935,1.84585,1071,1.85314,2001,1.87796
2137,1.83491,2055,1.84642,1131,1.85399,2118,1.87905
2257,1.8353,2175,1.84692,1191,1.8549,2238,1.88034
2377,1.83558,2295,1.84743,1251,1.85574,2358,1.88117
2497,1.8358,2415,1.84787,1311,1.85652,2478,1.88211
2617,1.83619,2535,1.84823,1371,1.85734,2598,1.88275
2737,1.83642,2655,1.84868,1431,1.85799,2718,1.88348
2857,1.83672,2775,1.84902,1491,1.85863,2838,1.88362
2977,1.83696,2895,1.84934,1551,1.85928,2965,1.8846
3097,1.83719,3015,1.8496,1614,1.86,3079,1.88524
3217,1.8374,3135,1.84983,1671,1.86057,3198,1.8852
3337,1.83757,3255,1.85015,1731,1.86107,3322,1.88577
3457,1.83779,3375,1.85037,1792,1.86167,3438,1.88648
3577,1.83796,3495,1.85058,1851,1.86214,3559,1.88701
3697,1.8381,3615,1.85079,1911,1.86265,3681,1.88717
3817,1.83825,3735,1.85097,1971,1.86314,3800,1.88793
3937,1.83842,3855,1.85108,2031,1.86354,3921,1.88798
4057,1.83858,3975,1.8513,2091,1.86399,4040,1.88848
4177,1.83866,4095,1.85143,2151,1.86442,4158,1.88856
4297,1.83881,4215,1.85154,2211,1.86477,4278,1.88896
4417,1.83887,4335,1.85169,2271,1.86512,4398,1.88891
4537,1.83901,4455,1.8518,2331,1.86557,4519,1.88916
4657,1.83909,4575,1.85196,2391,1.8658,4638,1.88904
4777,1.8392,4695,1.85206,2451,1.86614,4768,1.88951
4897,1.8393,4815,1.85214,2511,1.86647,4884,1.88933
5017,1.8394,4935,1.85221,2571,1.86682,5000,1.88973
5137,1.83943,5055,1.85234,2631,1.8671,5122,1.88946
5257,1.83955,5175,1.85242,2691,1.86737,5238,1.89001
5377,1.83959,5295,1.85248,2751,1.86765,5358,1.89007
5497,1.83966,5415,1.85259,2811,1.86781,5479,1.89036
5617,1.83972,5535,1.85266,2871,1.86809,5598,1.89061
5737,1.8398,5655,1.85276,2931,1.8683,5719,1.89041
5857,1.83988,5775,1.8528,2991,1.86854,5838,1.89101
5977,1.8399,5895,1.85288,3051,1.86878,5961,1.89086
6097,1.83991,6015,1.85294,3111,1.86897,6083,1.8907
6217,1.84001,6135,1.85299,3171,1.86916,6198,1.89122
6337,1.84003,6255,1.85305,3231,1.86937,6321,1.89108
6457,1.84007,6375,1.85308,3291,1.86953,6438,1.8912
6577,1.84014,6495,1.85316,3351,1.86973,6558,1.89132
6697,1.84016,6615,1.8532,3411,1.8699,6680,1.89104
6817,1.8402,6735,1.8533,3471,1.87004,6802,1.89131
6937,1.84021,6855,1.85328,3531,1.87022,6918,1.89177
7057,1.84029,6975,1.85328,3591,1.87029,7040,1.89159
7177,1.84028,7095,1.85343,3651,1.87045,7161,1.89183
7297,1.84029,7215,1.85343,3711,1.87065,7282,1.89186
7417,1.84031,7335,1.85346,3771,1.87078,7398,1.89218
7537,1.84039,7455,1.85351,3831,1.87095,7520,1.89235
7657,1.8404,7575,1.85355,3891,1.87108,7642,1.89257
7777,1.84043,7695,1.85359,3951,1.87112,7762,1.89266
7897,1.84043,7815,1.85364,4011,1.87132,7881,1.89284
8017,1.84043,7935,1.85362,4071,1.87141,7998,1.89236
8137,1.84054,8055,1.85366,4131,1.87145,8118,1.89284
8257,1.84051,8175,1.85367,4191,1.87161,8241,1.89273
8377,1.84054,8295,1.85373,4251,1.87168,8360,1.89278
8497,1.84059,8415,1.85374,4311,1.87181,8487,1.89226
8617,1.84061,8535,1.85379,4371,1.87193,8598,1.89292
8737,1.8406,8655,1.85382,4431,1.87202,8719,1.89219
8857,1.84062,8775,1.85385,4491,1.87208,8841,1.89269
8977,1.84065,8895,1.85388,4551,1.87214,8958,1.8927
9097,1.8406,9015,1.85389,4611,1.87227,9081,1.89261
9217,1.84068,9135,1.85387,4671,1.87238,9200,1.89225
9337,1.84072,9255,1.85393,4731,1.87246,9322,1.89212
9457,1.84071,9375,1.85398,4791,1.87246,9438,1.89253
9577,1.84075,9495,1.85398,4851,1.87262,9561,1.89238
9697,1.84081,9615,1.85404,4911,1.87268,9678,1.89253
9817,1.84077,9735,1.85403,4971,1.87269,9800,1.89265
9937,1.84083,9855,1.85408,5031,1.87276,9919,1.89243
10057,1.84086,9975,1.85411,5091,1.87288,10041,1.89298
10177,1.84085,10095,1.85412,5151,1.87283,10158,1.89294
10297,1.84089,10215,1.85416,5211,1.87303,10278,1.89315
10417,1.84091,10335,1.85415,5271,1.87301,10399,1.89309
10537,1.84092,10455,1.85417,5331,1.87316,10518,1.89344
10657,1.84092,10575,1.85421,5391,1.87321,10639,1.89363
10777,1.84087,10695,1.85423,5451,1.87326,10761,1.89399
10897,1.84097,10815,1.8542,5511,1.87328,10880,1.89353
11017,1.84096,10935,1.85425,5571,1.87332,10998,1.89367
11137,1.84095,11055,1.85426,5631,1.87344,11119,1.89324
11257,1.84103,11175,1.85425,5691,1.87342,11240,1.893
11377,1.841,11295,1.85435,5751,1.87353,11358,1.89323
11497,1.84097,11415,1.8543,5811,1.87363,11480,1.89313
11617,1.84103,11535,1.85431,5871,1.87364,11598,1.89299
11737,1.84104,11655,1.85435,5931,1.87359,11718,1.89309
11857,1.84102,11775,1.85436,5991,1.87369,11838,1.89309
11977,1.84104,11895,1.85433,6051,1.87379,11958,1.89319
12097,1.84111,12015,1.8544,6111,1.87381,12078,1.8934
12217,1.84107,12135,1.8544,6171,1.87388,12198,1.89314
12337,1.84113,12255,1.85437,6231,1.8738,12318,1.89357
12457,1.84113,12375,1.85442,6291,1.87394,12444,1.89393
12577,1.84111,12495,1.85444,6351,1.874,12558,1.89333
12697,1.84115,12615,1.85442,6411,1.87394,12678,1.89349
12817,1.84115,12735,1.85449,6471,1.87412,,
12937,1.84111,12855,1.8545,6531,1.87408,,
13057,1.84119,12975,1.85445,6591,1.8741,,
13177,1.84117,13095,1.8545,6651,1.87417,,
13297,1.84124,13215,1.85452,6711,1.87419,,
13417,1.8412,13335,1.85461,6771,1.8742,,
13537,1.84116,13455,1.85453,6831,1.87423,,
13657,1.84113,13575,1.85455,6891,1.87429,,
13777,1.84126,13695,1.85457,6951,1.87429,,
13900,1.84104,13815,1.85461,7011,1.87432,,
14017,1.84493,13935,1.85459,7071,1.8744,,
14137,1.84559,14055,1.85462,7131,1.87437,,
14258,1.84608,14175,1.85464,7191,1.87444,,
14377,1.84609,14295,1.8546,7251,1.87447,,
14497,1.84603,14415,1.85469,7311,1.87449,,
14617,1.84587,14535,1.85466,7371,1.87454,,
14737,1.84562,14655,1.85465,7431,1.87457,,
14857,1.84516,14775,1.85467,7491,1.87458,,
14977,1.84509,14895,1.85468,7551,1.87463,,
15097,1.84486,15015,1.85458,7611,1.87461,,
15217,1.84442,15135,1.8547,7671,1.87467,,
15337,1.84442,15255,1.85468,7731,1.87461,,
15457,1.84423,15375,1.85467,7791,1.87472,,
15577,1.84405,15495,1.8547,7851,1.87469,,
15697,1.84392,15615,1.85474,7911,1.87473,,
15817,1.84387,15735,1.85475,7971,1.87476,,
15937,1.84397,15855,1.85478,8031,1.87476,,
16057,1.84387,15975,1.85477,8091,1.87484,,
16177,1.84375,16095,1.8547,8151,1.87479,,
16297,1.84348,16215,1.85481,8211,1.87482,,
16417,1.84325,16335,1.85475,8271,1.87492,,
16537,1.84315,16455,1.85482,8331,1.87487,,
16657,1.84301,16575,1.85478,8391,1.87495,,
16777,1.84284,16695,1.85481,8451,1.87494,,
16897,1.84276,16815,1.85476,8511,1.875,,
17017,1.84267,16935,1.85486,8571,1.875,,
17137,1.84262,17055,1.85485,8631,1.87501,,
17257,1.84255,17175,1.8549,8691,1.87493,,
17377,1.84247,17295,1.85484,8751,1.87499,,
17497,1.84239,17415,1.85481,8811,1.87504,,
17617,1.84239,17535,1.8548,8871,1.87506,,
17737,1.84235,17655,1.85487,8931,1.87502,,
17857,1.84228,17775,1.85487,8991,1.87507,,
17977,1.84228,17895,1.85487,9051,1.87509,,
18097,1.84221,18015,1.8549,9111,1.87511,,
18217,1.84222,18135,1.85478,9171,1.87515,,
18337,1.8422,18255,1.85489,9231,1.87517,,
18457,1.84216,18375,1.85485,9291,1.87515,,
18577,1.84218,18495,1.85488,9351,1.87514,,
18697,1.84215,18615,1.85493,9411,1.87521,,
18817,1.84206,18735,1.85493,9471,1.8752,,
18937,1.84212,18855,1.85492,9531,1.87519,,
19057,1.84212,18975,1.85496,9591,1.87522,,
19177,1.84208,19095,1.85495,9651,1.87526,,
19297,1.8421,19215,1.85488,9711,1.8753,,
19417,1.84211,19335,1.85495,9771,1.87532,,
19537,1.84211,19455,1.85498,9831,1.87527,,
19657,1.84211,19575,1.85492,9891,1.87528,,
19777,1.84211,19695,1.85495,9951,1.87533,,
19897,1.84212,19815,1.85498,10011,1.87533,,
20017,1.84211,19935,1.85489,10071,1.87534,,
20137,1.84213,20055,1.855,10131,1.87539,,
20257,1.84205,20175,1.85503,10191,1.87536,,
20377,1.84212,20295,1.85497,10251,1.87537,,
20497,1.84213,20415,1.85501,10311,1.87536,,
20617,1.84216,20535,1.85501,10371,1.87534,,
20737,1.84213,20655,1.85499,10431,1.8756,,
20857,1.84215,20775,1.85502,10491,1.87589,,
20977,1.8421,20895,1.85503,10554,1.87598,,
21097,1.84216,21015,1.85495,10611,1.87638,,
21217,1.84216,21135,1.85506,10671,1.8766,,
21337,1.84221,21255,1.85504,10731,1.87672,,
21457,1.84218,21375,1.85507,10791,1.87669,,
21577,1.84219,21495,1.85506,10851,1.87676,,
21697,1.84219,21615,1.85502,10911,1.8768,,
21817,1.84223,21735,1.85504,10971,1.87692,,
21937,1.84224,21855,1.85507,11031,1.87688,,
22057,1.84224,21975,1.85505,11091,1.87689,,
22177,1.84227,22095,1.85507,11151,1.87695,,
,,22215,1.85511,11211,1.87702,,
,,22335,1.85501,11271,1.87699,,
,,22455,1.85511,11331,1.87702,,
,,22575,1.85511,11391,1.87701,,
,,22695,1.85504,11451,1.87703,,
,,22815,1.85509,11511,1.87708,,
,,22935,1.85513,11571,1.87709,,
,,23055,1.85507,11631,1.87714,,
,,23175,1.85515,11691,1.87711,,
,,23295,1.85511,11751,1.87718,,
,,23415,1.8551,11811,1.8772,,
,,23535,1.85516,11871,1.87718,,
,,23655,1.85515,11931,1.87725,,
,,23775,1.8551,11991,1.87721,,
,,23895,1.85519,12051,1.87725,,
,,24015,1.85519,12111,1.8773,,
,,24135,1.85513,12171,1.87731,,
,,24255,1.85518,12231,1.87735,,
,,24375,1.85522,12291,1.87738,,
,,24495,1.85516,12351,1.87736,,
,,24615,1.85522,12411,1.87738,,
,,24735,1.85521,12471,1.87743,,
,,24855,1.85521,12531,1.8774,,
,,24975,1.85518,12591,1.8774,,
,,25095,1.85517,12651,1.87743,,
,,25215,1.85519,12711,1.87742,,
,,25335,1.85524,12771,1.87746,,
,,25455,1.85521,12831,1.87748,,
,,25575,1.85523,12891,1.87756,,
,,25695,1.8552,12951,1.87755,,
,,25815,1.85517,13011,1.87752,,
,,25935,1.85524,13071,1.87757,,
,,26055,1.85529,13131,1.87755,,
,,26175,1.85519,13191,1.87761,,
,,26295,1.85526,13251,1.8776,,
,,26415,1.85525,13311,1.8776,,
,,26535,1.85512,13371,1.87758,,
,,26655,1.85529,13431,1.87765,,
,,26775,1.85529,13491,1.87767,,
,,26895,1.85517,13551,1.87767,,
,,27015,1.85526,13611,1.87769,,
,,27135,1.85529,13671,1.87766,,
,,27255,1.85519,13731,1.87766,,
,,27375,1.85533,13791,1.87773,,
,,27495,1.85525,13851,1.87774,,
,,27615,1.85523,13911,1.87771,,
,,27735,1.85533,13971,1.87775,,
,,27855,1.85532,14031,1.8778,,
,,27975,1.85521,14091,1.87771,,
,,28095,1.85532,14151,1.87778,,
,,28215,1.85534,14211,1.87781,,
,,28335,1.85538,14271,1.87781,,
,,28455,1.85534,14331,1.87783,,
,,28575,1.85531,14391,1.87784,,
,,28695,1.85539,14451,1.87783,,
,,28815,1.85538,14511,1.87783,,
,,28935,1.85531,14571,1.87781,,
,,29055,1.85536,14631,1.87789,,
,,29175,1.85539,14691,1.87787,,
,,29295,1.85526,14751,1.87785,,
,,29415,1.8553,14811,1.8779,,
,,29535,1.85538,14871,1.87794,,
,,29655,1.85531,14931,1.87792,,
,,29775,1.85535,14991,1.87788,,
,,29895,1.85542,15051,1.8779,,
,,30015,1.85527,15114,1.87788,,
,,30135,1.85538,15171,1.87793,,
,,30255,1.85538,15231,1.87798,,
,,30375,1.85532,15291,1.87795,,
,,30495,1.85542,15351,1.87786,,
,,30615,1.85544,15411,1.87788,,
,,30735,1.85534,15471,1.8779,,
,,30855,1.85543,15531,1.87796,,
,,30975,1.85543,15591,1.87797,,
,,31095,1.85535,15651,1.87796,,
,,31215,1.85542,15711,1.878,,
,,31335,1.85544,15771,1.87803,,
,,31455,1.85536,15831,1.87788,,
,,31575,1.85544,15891,1.87799,,
,,31695,1.85547,15951,1.878,,
,,31815,1.85547,16011,1.87799,,
,,31935,1.85544,16071,1.87799,,
,,32055,1.85542,16131,1.87798,,
,,32175,1.85537,16191,1.87796,,
,,32295,1.85545,16251,1.878,,
,,32415,1.85547,16311,1.87806,,
,,32535,1.85546,16371,1.87802,,
,,32655,1.85548,16431,1.87804,,
,,32775,1.85541,16491,1.87805,,
,,32895,1.85546,16551,1.87804,,
,,33015,1.85551,16611,1.87804,,
,,33135,1.85539,16671,1.87802,,
,,33255,1.85547,16731,1.87801,,
,,33375,1.85553,16791,1.87809,,
,,33495,1.85537,16851,1.87799,,
,,33615,1.85547,16911,1.87803,,
,,33735,1.85546,16971,1.878,,
,,33855,1.85539,17031,1.87811,,
,,33975,1.8555,17091,1.87803,,
,,34095,1.85554,17151,1.87808,,
,,34215,1.8554,17211,1.87805,,
,,34335,1.85551,17271,1.87805,,
,,34455,1.85551,17331,1.87801,,
,,34575,1.8554,17391,1.87812,,
,,34695,1.85551,17451,1.87807,,
,,34815,1.85555,17511,1.87811,,
,,34935,1.85552,17571,1.87809,,
,,35055,1.85552,17631,1.87805,,
,,35175,1.85555,17691,1.8781,,
,,35295,1.85547,17751,1.87816,,
,,35415,1.85554,17811,1.87809,,
,,35535,1.85555,17871,1.87805,,
,,35655,1.85557,17931,1.87809,,
,,35775,1.85556,17991,1.87813,,
,,35895,1.85553,18051,1.87813,,
,,36015,1.85558,18111,1.87807,,
,,36135,1.85555,18171,1.87813,,
,,36255,1.85551,18231,1.8781,,
,,36375,1.85553,18291,1.87815,,
,,36495,1.85556,18351,1.87812,,
,,36615,1.85552,18411,1.87809,,
,,36735,1.85552,18471,1.87803,,
,,36855,1.85557,18531,1.87811,,
,,36975,1.8555,18591,1.87802,,
,,37095,1.85556,18651,1.8781,,
,,37215,1.8556,18711,1.87812,,
,,37335,1.85545,18771,1.87811,,
,,37455,1.85556,18831,1.87812,,
,,37575,1.85555,18891,1.87814,,
,,37695,1.85552,18951,1.8781,,
,,37815,1.85553,19011,1.8781,,
,,37935,1.85562,19071,1.87816,,
,,38055,1.85553,19131,1.87814,,
,,38175,1.85559,19191,1.87817,,
,,38295,1.85558,19251,1.87809,,
,,38415,1.85548,19315,1.8781,,
,,38535,1.85559,19371,1.87804,,
,,38655,1.85562,19431,1.87808,,
,,38775,1.85562,19491,1.87806,,
,,38895,1.85561,19551,1.87807,,
,,39015,1.85559,19611,1.87807,,
,,39135,1.85559,19671,1.87799,,
,,39255,1.85564,19731,1.87802,,
,,39375,1.85562,19791,1.87802,,
,,39495,1.85568,19851,1.878,,
,,39615,1.85563,19911,1.87808,,
,,39735,1.85555,19971,1.87808,,
,,39855,1.85566,20031,1.87805,,
,,39975,1.85565,20091,1.87809,,
,,40095,1.8556,20151,1.87805,,
,,40215,1.85568,20211,1.878,,
,,40335,1.85564,20271,1.87805,,
,,40455,1.85554,20331,1.878,,
,,40575,1.85567,20391,1.87803,,
,,40695,1.85564,20451,1.87804,,
,,40815,1.85557,20511,1.87804,,
,,40935,1.85565,20571,1.87797,,
,,41055,1.85568,20631,1.87798,,
,,41175,1.85553,20691,1.87799,,
,,41295,1.85566,20751,1.87804,,
,,41415,1.85567,20812,1.87807,,
,,41535,1.85561,20871,1.87805,,
,,41655,1.85565,20931,1.87801,,
,,41775,1.85568,20991,1.87806,,
,,41895,1.85562,21051,1.87803,,
,,42015,1.85565,21112,1.87795,,
,,42135,1.8557,21171,1.87806,,
,,42255,1.85559,21231,1.878,,
,,42375,1.85564,21291,1.87808,,
,,42495,1.85566,21351,1.87799,,
,,42615,1.85562,21411,1.87799,,
,,42735,1.85565,21471,1.87802,,
,,42855,1.8557,21531,1.87803,,
,,42975,1.85559,21591,1.87803,,
,,43095,1.85563,21651,1.87802,,
,,43215,1.85567,21711,1.87802,,
,,43335,1.85572,21771,1.87802,,
,,43455,1.85571,21831,1.87808,,
,,43575,1.85565,21891,1.87802,,
,,43695,1.85562,21951,1.878,,
,,43815,1.85565,22011,1.87803,,
,,43935,1.85569,22071,1.878,,
,,44055,1.85566,22131,1.87803,,
,,44175,1.85568,22191,1.87808,,
,,44295,1.85556,22251,1.87803,,
,,44415,1.85573,22311,1.878,,
,,44535,1.85569,22371,1.87797,,
,,44655,1.85565,22431,1.87797,,
,,44775,1.85566,22491,1.87801,,
,,44895,1.85567,22551,1.87806,,
,,45015,1.85564,22611,1.87791,,
,,45135,1.85567,22671,1.87802,,
,,45255,1.85572,22731,1.87794,,
,,45375,1.85565,22791,1.87798,,
,,45495,1.85566,22851,1.87797,,
,,45615,1.85571,22911,1.87797,,
,,45735,1.85566,22971,1.87791,,
,,45855,1.8557,23031,1.87798,,
,,45975,1.85565,23091,1.87797,,
,,46095,1.85562,23151,1.87799,,
,,46215,1.85571,23211,1.87796,,
,,46335,1.85568,23273,1.87794,,
,,46455,1.85565,23331,1.87793,,
,,46575,1.8557,23391,1.87799,,
,,46695,1.85571,23451,1.87794,,
,,46815,1.85573,23511,1.87793,,
,,46935,1.85571,23571,1.87797,,
,,47055,1.85564,23631,1.87793,,
,,47175,1.85572,23691,1.878,,
,,47295,1.85572,23751,1.87793,,
,,47415,1.85568,23811,1.87797,,
,,47535,1.8557,23871,1.87797,,
,,47655,1.85572,23931,1.87797,,
,,47775,1.85563,23991,1.87797,,
,,47895,1.85576,24051,1.87792,,
,,48015,1.85576,24111,1.87786,,
,,48135,1.85563,24171,1.87791,,
,,48255,1.85566,24231,1.87795,,
,,48375,1.85575,24291,1.87792,,
,,48495,1.85555,24351,1.87793,,
,,48615,1.8557,24411,1.87791,,
,,48735,1.85575,24471,1.87792,,
,,48855,1.85566,24531,1.87791,,
,,48975,1.85571,24591,1.87793,,
,,49095,1.85574,24651,1.87794,,
,,49215,1.85571,24711,1.8779,,
,,49335,1.85569,24771,1.87785,,
,,49455,1.85572,24831,1.87793,,
,,49575,1.8556,24891,1.87797,,
,,49695,1.85569,24951,1.87789,,
,,49815,1.8557,25011,1.87783,,
,,49935,1.85569,25071,1.8779,,
,,50055,1.85569,25131,1.87789,,
,,50175,1.85565,25191,1.87783,,
,,50295,1.85576,25251,1.87788,,
,,50415,1.85572,25311,1.87786,,
,,50535,1.85567,25371,1.8779,,
,,50655,1.85567,25431,1.87786,,
,,50775,1.8557,25491,1.87788,,
,,50895,1.85563,25551,1.87791,,
,,51015,1.8557,25611,1.8779,,
,,51135,1.8557,25671,1.87784,,
,,51255,1.85564,25731,1.8779,,
,,51375,1.85569,25791,1.8779,,
,,51495,1.85572,25851,1.87789,,
,,51615,1.85562,25911,1.87786,,
,,51735,1.85571,25971,1.87787,,
,,51855,1.85574,26031,1.87783,,
,,51975,1.85558,26091,1.87788,,
,,52095,1.85565,26151,1.87786,,
,,52215,1.85572,26211,1.87786,,
,,52335,1.85561,26271,1.87787,,
,,52455,1.85569,26331,1.87773,,
,,52575,1.85572,26391,1.87784,,
,,52695,1.85567,26451,1.87779,,
,,52815,1.85569,26511,1.87786,,
,,52935,1.85573,26571,1.87781,,
,,53055,1.85559,26631,1.87778,,
,,53175,1.8557,26691,1.87781,,
,,53295,1.85572,26751,1.87784,,
,,53415,1.85563,26811,1.87778,,
,,53535,1.85571,26871,1.87781,,
,,53655,1.8557,26931,1.87779,,
,,53775,1.85577,26991,1.87779,,
,,53895,1.85572,27051,1.87775,,
,,54015,1.8557,27111,1.87779,,
,,54135,1.85563,27171,1.87778,,
,,54255,1.85572,27231,1.8778,,
,,54375,1.85567,27291,1.87778,,
,,54495,1.8557,27351,1.87775,,
,,54615,1.8557,27411,1.87776,,
,,54735,1.85562,27471,1.87776,,
,,54855,1.85573,27531,1.87774,,
,,54975,1.85571,27591,1.87773,,
,,55095,1.85564,27651,1.87773,,
,,,,27711,1.87772,,
,,,,27771,1.87773,,
,,,,27831,1.87773,,
,,,,27891,1.87774,,
,,,,27951,1.87777,,
,,,,28011,1.87778,,
,,,,28071,1.87775,,
,,,,28131,1.87771,,
,,,,28191,1.87774,,
,,,,28251,1.87768,,
,,,,28311,1.87769,,
,,,,28371,1.87774,,
,,,,28431,1.87774,,
,,,,28491,1.87774,,
,,,,28551,1.8777,,
,,,,28611,1.87766,,
,,,,28671,1.87772,,
,,,,28731,1.87763,,
